osm_type,osm_id,kind,name,brand,operator,addr_full,addr_street,addr_city,addr_postcode,opening_hours,phone,website,lat,lon
node,2094071829,fuel_agil, عجبل,Agil,Agil,,,,,,,,35.8135428,10.6286645
node,3201919571,fuel_agil,AGIL Jelma,عجيل,,,,Jelma,,,,,35.2698144,9.4181454
node,3201908000,fuel_agil,AGIL Sidi Aich,Agil,,,,Sidi Aich,,,,,34.7314404,8.783073
node,1808578229,fuel_agil,AGIL Sidi Bennour,AGIL,,,,,,,,,35.5328497,10.9153757
node,12526639023,fuel_agil,AGIL oueslatia,,,,,,,,,,35.8462354,9.5957105
node,1116205600,fuel_agil,Agil Bajou,Agil,,,,,,,,,37.1618243,10.1382281
node,2876214407,fuel_agil,Agil Cebbala,Agil,,,,,,,,,35.1755813,9.2841923
node,352839783,fuel_agil,Agil El Jorf,Agil,عجيل,,,الجرف,,,,,33.6972704,10.731727
node,5084301624,fuel_agil,Agil Gas station,Agil,,,شارع الحبيب بورقيبة,,,,,,37.2244526,10.0976613
node,2165970340,fuel_agil,Agil Kairouan GPL,عجيل,الشركة الوطنية لتوزيع البترول,,,,,,,,35.7114403,10.1075038
node,2296149338,fuel_agil,Agil Mareth,Agil,,,,,,,,,33.6375203,10.2827955
node,7468425246,fuel_agil,Agil Menzel Hached,Agil,AGIL,,,,,,,,35.1843327,10.2795586
node,7468425232,fuel_agil,Agil Ouled Haffouz,Agil,,,,,,,,,35.08225,9.873583
node,9043396236,fuel_agil,Agil Sfax Pic Ville,Agil,,,,,,,,,34.733869,10.7518173
node,3798270019,fuel_agil,Agil Sidi Ali Ben Aoun,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,34.8501196,9.1428383
node,9047566145,fuel_agil,Agil Skhira,Agil,SNDP,,,,,,,,34.2989222,10.0695926
node,7468425255,fuel_agil,Agil Tabarka,Agil,,,,,,,,,36.9461033,8.7593061
node,7468425250,fuel_agil,Agil Touza,Agil,,,,,,,,,35.6304612,10.81925
node,9003651950,fuel_agil,Aire de Service AGIL El Borgine,Agil,,,,,,,,,35.5670523,10.6148317
node,7468425258,fuel_agil,Amdoun,Agil,,,,,,,,,36.762912,9.0763842
